4249 Hudson Street,Vancouver,"$5,888,000",4,2,2,0,3,3032,11593,1926,House/Single Family / 2 Storey w/Bsmt.,Freehold NonStrata,Vancouver West,V6H 3B3,"A happy and charming family home on large level lot in Shaughnessy. Main floor is graced with a spacious living and dining room plus a bedroom, a den and a kitchen with eating area for active family living. Up are 2 bedrooms plus a full bath. Down is a large rec room plus 4th bedroom. Huge sunny WEST facing sundeck off kitchen and dining room overlooking very private beautifully landscaped backyard. Double garage. This property enjoys the convenience of two lanes. One down the North side and one across the West side providing additional privacy and easy access to your home. Newer furnace and HW tank. Effective size of lot is 66’x 175’ approx. RS-5 zone. (NOT FSD) Close to sought after private schools. Oil tank removed and docs available. Showing by appointment only. Call now!",0,"Full, Partly Finished",13905.55,,68,1,"April 19, 2016 11:23 pm","[""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-2.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-3.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-4.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-5.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-6.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-7.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-8.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-9.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-10.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-11.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-12.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-13.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-14.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-15.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-16.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-17.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-18.jpg?2016-04-19+23%3A23%3A00"", ""https://photos.lilypad.ca/4249-hudson-street-vancouver-R2059256-19.jpg?2016-04-19+23%3A23%3A00""]"
4150 Victoria Drive,Vancouver,"$1,188,000",2,1,1,0,2,1918,4348,1939,House/Single Family / Rancher/Bungalow w/Bsmt.,Freehold NonStrata,Vancouver East,V5N 4N3,"Builders, Investors! Solid retro bungalow on a large 40x109 RS-1 lot (4348 SF) with lane access in hot Victoria area. Located at 26th & Victoria across from Brewers Park this 2 bed (circa 1939) home features original oak hardwood floors, coved ceilings, leaded glass doors and a full height unfinished basement. Great view potential for stellar city and mountain views if one were to build new. One car garage and a fully fenced sunny & quiet backyard. Steps to Brewers Park and a few blocks to Gladstone Secondary.",0,"Full, Unfinished",3945.76,,83,1,"April 19, 2016 7:47 pm","[""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-2.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-3.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-4.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-5.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-6.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-7.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-8.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-9.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-10.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-11.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-12.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-13.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-14.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-15.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-16.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-17.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-18.jpg?2016-04-19+19%3A47%3A00"", ""https://photos.lilypad.ca/4150-victoria-drive-vancouver-R2059189-19.jpg?2016-04-19+19%3A47%3A00""]"
4275 Skeena Street,Vancouver,"$2,188,000",8,6,6,0,3,3120,3600,2016,House/Single Family / 2 Storey w/Bsmt.,Freehold NonStrata,Vancouver East,V5R 2L4,"Brand new custom built home with 2 bdrm laneway house. Comes with 2-5-10 new home warranty. Features include quartz countertops, air conditioned roughed in, engineered hardwood floor, HRV system, heating exchanger, security system, radiant heating, bbq hook up, sprinkler system & much more. There's a 2 bedroom legal suite & potential 1 bdrm suite. Open house this Sat & Sun, 2-4pm.",0,Fully Finished,3814.3,,68,1,"April 19, 2016 7:42 pm","[""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-2.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-3.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-4.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-5.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-6.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-7.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-8.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-9.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-10.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-11.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-12.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-13.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-14.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-15.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-16.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-17.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-18.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-19.jpg?2016-04-19+18%3A29%3A00"", ""https://photos.lilypad.ca/4275-skeena-street-vancouver-R2059162-20.jpg?2016-04-19+18%3A29%3A00""]"
3830 Victoria Drive,Vancouver,"$1,099,000",5,2,2,0,2,1940,3828,1930,House/Single Family / 2 Storey,Freehold NonStrata,Vancouver East,V5N 4M8,"Location, location, location. Solid 2 level home, 5BR with 3 bedroom up and 2 bedroom down, 2 kitchens, fully renovated and with patio cover sundeck. Home is situated to within walking distance to both schools, Lord Selkirk elementary school and Gladstone Secondary school. On Victoria bus route and to Commercial skytrain and to downtown Vancouver within 30 mins ride. Walking distance to Trout Lake and its community centre. Public Open House Saturday, April 23rd, 2-4pm.",0,"Full, Fully Finished, Separate Entry",3750.04,,83,1,"April 20, 2016 12:14 am","[""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-2.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-3.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-4.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-5.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-6.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-7.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-8.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-9.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-10.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-11.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-12.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-13.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-14.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-15.jpg?2016-04-19+23%3A56%3A00"", ""https://photos.lilypad.ca/3830-victoria-drive-vancouver-R2059141-16.jpg?2016-04-19+23%3A56%3A00""]"
6462 Macdonald Street,Vancouver,"$5,180,000",5,5,3,2,3,3687,15048,1924,House/Single Family / 2 Storey w/Bsmt.,Freehold NonStrata,Vancouver West,V6N 1E6,"Expansive 66 x 228 foot, park-like property with a charming 5 bedroom & den, 5 bath home in Kerrisdale. Perfect to hold, renovate or build your dream home! This 2 level home offers h/w floors, plenty of natural light, spacious principal rms, sizable den & 5 generously sized bdrms (3 on main & 2 up). Partially finished basement provides storage space & is ready for your ideas. Beautiful, fenced backyard w/lush, mature landscaping & serene pond is ideal for gardening & relaxing w/family & friends. Prime location, close to parks, golf courses + amenities in Kerrisdale & along Dunbar St. Easy access to downtown Vancouver & Richmond. Excellent schools nearby: Kerrisdale Elem., Point Grey Sec., Crofton House, St. George’s & UBC.",2,Partly Finished,13230.24,,42,29,"April 19, 2016 8:07 am","[""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-2.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-3.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-4.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-5.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-6.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-7.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-8.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-9.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-10.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-11.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-12.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-13.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-14.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-15.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-16.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-17.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-18.jpg?2016-03-21+20%3A38%3A00"", ""https://photos.lilypad.ca/6462-macdonald-street-vancouver-R2048136-19.jpg?2016-03-21+20%3A38%3A00""]"
4585 Prince Albert Street,Vancouver,"$1,399,000",6,4,3,1,2,2050,2739,1977,House/Single Family / Basement Entry,Freehold NonStrata,Vancouver East,V5V 4K3,"Great 6 bed and 4 bath home in an ideal family oriented location. Good rental potential as this Vancouver special features 2 suites with seperate entrances on the main floor and laminate flooring throughout. Walk just a few blocks to No Frills and Shoppers Drug Mart or explore other restaurants and stores in this very diverse community. Just one block away from transportation and one bus ride away from Downtown or the Skytrain. Families with younger or older children need not to worry as General Brock Elementary and Sir Charles Tupper Secondary are just a short walk or drive away. Pictures to come soon! First showing and open house this Saturday & Sunday, April 23 and 24 from 2pm to 4pm.",1,Fully Finished,4567.36,,76,1,"April 19, 2016 11:30 pm",[]
4716 Fairmont Street,Vancouver,"$1,448,800",4,3,3,0,2,2040,4698,1956,House/Single Family / Rancher/Bungalow w/Loft,Freehold NonStrata,Vancouver East,V5R 3V2,"Solid house on a beautiful tree lined street in central Collingwood location, real hardwood floor on main level with 2 spacious bedrooms; lower floor features 2 bedrooms and a kitchen. Perfect lot to build a dream home on this 54-foot wide lot with back lane for future laneway house potential. Minutes to 29th Ave skytrain station. John Norquay Elementary & Windermere Secondary schools catchment area. First showing at open House: April 30th & May 1st, 2-4pm. Offers to be presented at 6:30pm on Tuesday May 3rd.",0,Full,4479.69,,65,1,"April 19, 2016 8:32 pm",[]
3380 Crown Street,Vancouver,"$2,938,000",4,3,3,0,3,2637,4390,1977,House/Single Family / 2 Storey w/Bsmt.,Freehold NonStrata,Vancouver West,V6S 2L5,"Excellent location! Bright and clean contemporary home in Dunbar area. Completely renovated in 2012. Corner lot with architect designed modern plan; lots of light; fabulous finishings; 3 beds up plus lots of room for nanny down. Unique & beautiful West side home. A short walk to the best schools, restaurants, shops & parks. Open house on Sunday, April 24, 3pm-5pm. No showing before first open house.",0,"Fully Finished, Separate Entry",8031.75,,59,1,"April 18, 2016 11:19 pm","[""http://maps.googleapis.com/maps/api/streetview?size=470x380&location=3380 Crown Street  Vancouver, V6S 2L5&sensor=false&fov=70&key=AIzaSyAFiN68UFakXeUjLPb7oAsw3OxToWJuuPE""]"
4458 Brakenridge Street,Vancouver,"$6,888,000",6,6,5,1,3,4193,6603.3,2016,House/Single Family / 2 Storey w/Bsmt.,Freehold NonStrata,Vancouver West,V6L 2H2,"ONE OF A KIND Tudor style home in the highly regarded Quilchena! The Brakenridge Classic's street appeal is dominating yet elegant in its style. Beautifully structured and perfectly positioned, this home features close to 4200 SF of pure luxury. Greeted with grand foyer and the modern open concept living supported by heavy timber and stone finishes that seamlessly blend to create a sense of warmth and prestige. Gourmet kitchen featuring Wolf appliances, a full size 48"" Sub Zero fridge and upscale cabinets. French doors leads to large patio & garden. 2nd floor features 4 spacious bedrooms with ensuites, luxurious basement equipped with 2 guest bdrms, bar/rec room, wine cellar, home theatre and spa room. Close to parks, PW & Trafalgar.",1,Fully Finished,10628.73,,63,1,"April 19, 2016 5:04 am","[""http://maps.googleapis.com/maps/api/streetview?size=470x380&location=4458 Brakenridge Street  Vancouver, V6L 2H2&sensor=false&fov=70&key=AIzaSyAFiN68UFakXeUjLPb7oAsw3OxToWJuuPE""]"
5921 Prince Albert Street,Vancouver,"$2,200,000",7,3,3,0,2,3443,6100,1953,"House/Single Family / Laneway House,Rancher/Bungalow w/Bsmt.",Freehold NonStrata,Vancouver East,V5W 3E2,"Handsome, solid rancher with a high basement on an excellent 50' lot facing the park PLUS a 3 yr old, income producing laneway house! Lots of space for your whole family and within easy walking distance of schools, transportation, and all of the colourful shops and restaurants along Fraser and Main. First showing: Thurs., Apr.21, 5:30-6:30. Open Sat. & Sun., 2-4.",0,"Full, Partly Finished, Separate Entry",4170.82,,90,1,"April 19, 2016 7:55 pm","[""https://photos.lilypad.ca/5921-prince-albert-street-vancouver-R2058968-2.jpg?2016-04-19+19%3A55%3A00"", ""https://photos.lilypad.ca/5921-prince-albert-street-vancouver-R2058968-3.jpg?2016-04-19+19%3A55%3A00"", ""https://photos.lilypad.ca/5921-prince-albert-street-vancouver-R2058968-4.jpg?2016-04-19+19%3A55%3A00"", ""https://photos.lilypad.ca/5921-prince-albert-street-vancouver-R2058968-5.jpg?2016-04-19+19%3A55%3A00"", ""https://photos.lilypad.ca/5921-prince-albert-street-vancouver-R2058968-6.jpg?2016-04-19+19%3A55%3A00"", ""https://photos.lilypad.ca/5921-prince-albert-street-vancouver-R2058968-7.jpg?2016-04-19+19%3A55%3A00"", ""https://photos.lilypad.ca/5921-prince-albert-street-vancouver-R2058968-8.jpg?2016-04-19+19%3A55%3A00"", ""https://photos.lilypad.ca/5921-prince-albert-street-vancouver-R2058968-9.jpg?2016-04-19+19%3A55%3A00"", ""https://photos.lilypad.ca/5921-prince-albert-street-vancouver-R2058968-10.jpg?2016-04-19+19%3A55%3A00"", ""https://photos.lilypad.ca/5921-prince-albert-street-vancouver-R2058968-11.jpg?2016-04-19+19%3A55%3A00""]"
